CRATER_ID,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIM_TOPOG,DEPTH_FLOOR_TOPOG,DEPTH_RIMFLOOR_TOPOG,CRATER_NAME,FAN_LATITUDE,FAN_LONGITUDE ,FAN_CLASS,FAN_AZIMUTH_BEARING,TANAKA_UNIT,TANAKA_UNIT_DESCRIPTION,REFERENCE
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-25.24,166.3,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000020,-24.66,166.44,91.5,2.22,-0.18,2.41,,-25.25,166.32,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.51,167.44,alluvial fan,67.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.51,166.45,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.9,167.38,alluvial fan,112.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.87,167.4,alluvial fan,112.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.97,167.26,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-10,166.77,alluvial fan,202.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.98,167,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-10.06,166.84,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-10.11,166.94,alluvial fan,180,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-10.06,167.03,alluvial fan,157.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.68,167.38,alluvial fan,90,AHi,Amazonian and Hesperian impact unit,this paper 
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.99,167.41,alluvial fan,112.5,AHi,Amazonian and Hesperian impact unit,this paper 
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-10.05,167.35,alluvial fan,135,AHi,Amazonian and Hesperian impact unit,this paper 
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.72,166.38,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,this paper 
23-000030,-9.59,166.98,78.73,-1.56,-3.69,2.13,Reuyl,-9.59,166.38,alluvial fan,270,AHi,Amazonian and Hesperian impact unit,this paper 
23-000060,-26.43,171.54,61.7,2.12,-0.14,2.26,,-26.5,171.19,alluvial fan,247.5,AHi,Amazonian and Hesperian impact unit,Wilson et al. (2013)/ this paper
